"Defunciones mensuales de la C.A. de Euskadi por grandes grupos CIE-10, mes, tramo edad cumplida, sexo y periodo"

"grandes grupos CIE-10","mes","tramo edad cumplida","sexo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"VI. Enfermedades del sistema nervioso (G00 - G99)","Septiembre","80 - 89","Hombres",14,17,14,23,24,18,25,19,25,22,23,19,14,21
"VI. Enfermedades del sistema nervioso (G00 - G99)","Septiembre","80 - 89","Mujeres",20,25,29,21,28,30,33,29,24,30,29,32,28,32
"VI. Enfermedades del sistema nervioso (G00 - G99)","Septiembre",">= 90","Hombres",3,2,3,3,5,3,6,5,9,10,12,8,10,4
"VI. Enfermedades del sistema nervioso (G00 - G99)","Septiembre",">= 90","Mujeres",4,16,13,30,17,23,26,21,14,28,15,20,25,36
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","20 - 29","Hombres",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","30 - 39","Hombres",0,0,1,1,0,1,1,1,0,0,1,0,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","30 - 39","Mujeres",0,0,0,0,1,0,1,1,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","40 - 49","Hombres",2,0,1,0,0,0,0,2,3,0,1,2,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","40 - 49","Mujeres",1,1,1,1,0,2,0,1,2,0,0,1,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","50 - 59","Hombres",1,3,2,0,2,3,4,3,3,1,1,3,2,2
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","50 - 59","Mujeres",2,5,2,2,2,4,3,0,1,3,1,0,0,2
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","60 - 69","Hombres",3,4,5,1,6,5,2,2,1,8,2,4,4,10
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","60 - 69","Mujeres",0,4,3,1,2,4,6,1,3,0,1,3,3,4
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","70 - 79","Hombres",7,6,8,8,13,6,12,8,8,15,14,17,11,9
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","70 - 79","Mujeres",7,8,8,6,7,13,4,11,3,10,16,8,6,17
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","80 - 89","Hombres",14,19,20,21,24,14,19,21,13,27,30,23,23,18
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre","80 - 89","Mujeres",38,27,33,31,36,40,29,34,29,23,36,24,26,21
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre",">= 90","Hombres",2,5,4,8,3,8,8,5,4,8,7,7,13,7
"VI. Enfermedades del sistema nervioso (G00 - G99)","Octubre",">= 90","Mujeres",14,14,20,22,27,18,17,18,21,18,29,34,40,23
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","0","Hombres",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","0","Mujeres",2,0,0,0,1,0,0,0,1,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","1 - 9","Hombres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","1 - 9","Mujeres",0,0,0,1,0,0,0,0,0,0,0,1,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","10 - 19","Hombres",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","10 - 19","Mujeres",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","20 - 29","Hombres",0,0,0,2,0,1,0,0,0,1,0,0,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","20 - 29","Mujeres",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","30 - 39","Hombres",1,0,0,0,0,0,0,0,0,0,0,1,1,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","30 - 39","Mujeres",0,0,1,0,0,0,0,0,2,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","40 - 49","Hombres",0,2,1,1,0,1,1,0,2,0,0,1,2,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","40 - 49","Mujeres",1,0,0,2,0,0,1,1,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","50 - 59","Hombres",2,1,3,1,1,1,2,2,1,0,2,5,4,4
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","50 - 59","Mujeres",0,0,0,1,1,1,1,0,0,0,0,3,1,1
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","60 - 69","Hombres",2,3,2,5,2,0,4,4,5,2,3,2,4,6
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","60 - 69","Mujeres",3,4,3,4,4,4,3,1,0,1,2,5,6,8
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","70 - 79","Hombres",10,9,13,12,11,15,6,8,11,10,12,7,13,18
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","70 - 79","Mujeres",10,9,7,3,14,9,6,8,4,9,10,18,9,10
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","80 - 89","Hombres",13,17,14,21,26,23,20,19,21,23,12,33,13,22
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre","80 - 89","Mujeres",26,43,36,23,27,32,37,44,29,30,28,30,24,22
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre",">= 90","Hombres",4,6,2,3,9,5,10,9,7,5,9,8,8,9
"VI. Enfermedades del sistema nervioso (G00 - G99)","Noviembre",">= 90","Mujeres",17,10,27,15,24,14,31,26,24,23,19,31,28,28
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","0","Hombres",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","0","Mujeres",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","1 - 9","Hombres",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","1 - 9","Mujeres",0,0,0,0,0,0,0,0,1,0,0,1,0,1
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","10 - 19","Hombres",0,0,0,1,0,0,1,1,0,0,0,1,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","20 - 29","Hombres",0,1,1,0,1,0,0,0,0,0,1,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","30 - 39","Hombres",2,0,0,0,1,0,0,0,0,0,0,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","30 - 39","Mujeres",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","40 - 49","Hombres",1,0,0,1,0,0,0,0,2,1,2,1,0,0
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","40 - 49","Mujeres",0,2,0,1,0,1,0,1,0,1,0,1,1,1
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","50 - 59","Hombres",4,4,4,1,3,3,4,2,3,4,2,2,2,2
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","50 - 59","Mujeres",0,5,2,0,3,3,0,1,2,0,1,3,1,3
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","60 - 69","Hombres",2,10,2,10,11,0,6,6,5,4,2,5,4,5
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","60 - 69","Mujeres",4,2,4,2,2,4,2,1,8,3,4,4,6,4
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","70 - 79","Hombres",17,13,9,16,14,12,10,13,10,14,10,6,20,12
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","70 - 79","Mujeres",11,11,13,9,7,5,15,11,11,7,7,14,12,24
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","80 - 89","Hombres",17,22,14,26,18,29,25,34,26,23,22,27,29,27
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre","80 - 89","Mujeres",45,45,35,35,42,26,41,26,21,36,32,43,37,41
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre",">= 90","Hombres",4,4,5,8,1,5,1,7,11,9,4,7,15,17
"VI. Enfermedades del sistema nervioso (G00 - G99)","Diciembre",">= 90","Mujeres",19,15,14,23,26,21,26,24,29,20,31,32,25,36
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","40 - 49","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","50 - 59","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","50 - 59","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","60 - 69","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","60 - 69","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","70 - 79","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","70 - 79","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","80 - 89","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero","80 - 89","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero",">= 90","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Enero",">= 90","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","40 - 49","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","50 - 59","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","50 - 59","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","60 - 69","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","60 - 69","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","70 - 79","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","70 - 79","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","80 - 89","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero","80 - 89","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero",">= 90","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Febrero",">= 90","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","40 - 49","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","50 - 59","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","50 - 59","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","60 - 69","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","60 - 69","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","70 - 79","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","70 - 79","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","80 - 89","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo","80 - 89","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo",">= 90","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Marzo",">= 90","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","40 - 49","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","50 - 59","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","50 - 59","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","60 - 69","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","60 - 69","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","70 - 79","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","70 - 79","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","80 - 89","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril","80 - 89","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril",">= 90","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Abril",">= 90","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","40 - 49","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","50 - 59","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","50 - 59","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","60 - 69","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","60 - 69","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","70 - 79","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","70 - 79","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","80 - 89","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo","80 - 89","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo",">= 90","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Mayo",">= 90","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VII. Enfermedades del ojo y sus anexos (H00 - H59)","Junio","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
